OBJECTID,latitude,longitude,scientific,common_nam,date_time,last_mod,geom_WKT
1,-24.7914,152.4367,Lepidochelys olivacea,Olive Ridley,1/01/1968,12/01/2021,POINT (152.4367 -24.7914)
2,-10.2267,142.1752,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (142.1752 -10.2266999999999)
3,-23.4494,151.0574,Lepidochelys olivacea,Olive Ridley,1/01/1969,12/01/2021,POINT (151.0574 -23.4494)
4,-10.7764,142.3921,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (142.3921 -10.7764)
5,-10.7143,142.5004,Lepidochelys olivacea,Olive Ridley,1/01/2005,12/01/2021,POINT (142.5004 -10.7143)
6,-22.1395,149.9386,Lepidochelys olivacea,Olive Ridley,1/01/2001,12/01/2021,POINT (149.9386 -22.1394999999999)
7,-9.61,141.5683,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (141.5683 -9.60999999999996)
8,-21.0345,149.1752,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (149.1752 -21.0345)
9,-21.4165,149.331,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (149.331 -21.4164999999999)
10,-10.374,142.1321,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (142.1321 -10.374)
11,-20.7113,149.1404,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.1404 -20.7112999999999)
12,-21.1,152.4833,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (152.4833 -21.1)
13,-20.8302,148.8918,Lepidochelys olivacea,Olive Ridley,1/01/1995,12/01/2021,POINT (148.8918 -20.8301999999999)
14,-14.1167,144.5167,Lepidochelys olivacea,Olive Ridley,1/01/1975,12/01/2021,POINT (144.5167 -14.1167)
15,-20.9023,148.9945,Lepidochelys olivacea,Olive Ridley,1/01/1994,12/01/2021,POINT (148.9945 -20.9023)
16,-16.7507,139.1609,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (139.1609 -16.7506999999999)
17,-16.7767,138.655,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (138.655 -16.7766999999999)
18,-21.65,152.37,Lepidochelys olivacea,Olive Ridley,1/01/1976,12/01/2021,POINT (152.37 -21.65)
19,-12.1363,143.1053,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (143.1053 -12.1362999999999)
20,-23.433,151.9167,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (151.9167 -23.4329999999999)
21,-20.8251,149.2953,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.2953 -20.8251)
22,-24,151.74,Lepidochelys olivacea,Olive Ridley,1/01/1976,12/01/2021,POINT (151.74 -23.9999999999999)
23,-20.8793,148.9546,Lepidochelys olivacea,Olive Ridley,1/01/1997,12/01/2021,POINT (148.9546 -20.8792999999999)
24,-15.9087,141.3923,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (141.3923 -15.9087)
25,-9.8383,142.7467,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (142.7467 -9.83829999999995)
26,-20.9392,149.4822,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.4822 -20.9392)
27,-21.3295,149.317,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.317 -21.3294999999999)
28,-20.6692,149.165,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.165 -20.6691999999999)
29,-10.7667,142.21,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (142.21 -10.7667)
